ID	symbol	chromosome	start	stop
ENSG00000280054	AC004241.5	12	47728151	47730598
ENSG00000135916	ITM2C	2	230864639	230879248
ENSG00000135914	HTR2B	2	231108230	231125118
ENSG00000135913	USP37	2	218450251	218568361
ENSG00000135912	TTLL4	2	218710845	218755416
ENSG00000092148	HECTD1	14	31100112	31207804
ENSG00000034693	PEX3	6	143450807	143490010
ENSG00000135919	SERPINE2	2	223975112	224039319
ENSG00000230487	PSMG3-AS1	7	1570073	1589626
ENSG00000176396	EID2	19	39538705	39540333
ENSG00000230482	ATP5MC2P3	2	197263111	197263535
ENSG00000176393	RNPEP	1	201982372	202006147
ENSG00000230489	VAV3-AS1	1	107964443	107994607
ENSG00000206052	DOK6	18	69401055	69849087
ENSG00000247624	CPEB2-DT	4	14909961	15002045
ENSG00000247627	MTND4P12	5	134926660	134928036
ENSG00000247626	MARS2	2	197705369	197708387
ENSG00000167535	CACNB3	12	48813794	48828941
ENSG00000188886	ASTL	2	96123850	96138436
ENSG00000241506	PSMC1P1	3	68635705	68637024
ENSG00000149792	MRPL49	11	65122183	65127371
ENSG00000237286	AC004906.1	7	2944035	2947091
ENSG00000204351	SKIV2L	6	31959080	31969755
ENSG00000237280	AL136982.3	10	87113954	87115523
ENSG00000237281	CATIP-AS2	2	218326889	218357966
ENSG00000272255	AC113361.1	5	139644460	139645002
ENSG00000272256	AC044849.1	8	30082758	30083467
ENSG00000153207	AHCTF1	1	246839098	246931967
ENSG00000271781	AC026740.1	5	675826	676616
ENSG00000271780	AL118558.3	14	101948347	101949425
ENSG00000049192	ADAMTS6	5	65148736	65481920
ENSG00000271789	AL080317.2	6	111297126	111298510
ENSG00000271788	AC008875.1	5	43006733	43007543
ENSG00000274363	AC087742.1	17	4267691	4268430
ENSG00000169992	NLGN2	17	7404874	7419860
ENSG00000237135	DDX10P1	10	30919012	30921235
ENSG00000237133	AC020594.1	2	33555047	33563547
ENSG00000272787	AC253536.6	22	23969211	23969873
ENSG00000272783	AC147067.2	4	1550284	1550572
ENSG00000277550	AL031651.1	20	38103524	38104961
ENSG00000172673	THEMIS	6	127708072	127918631
ENSG00000172671	ZFAND4	10	45615501	45672780
ENSG00000236423	LINC01134	1	3900372	3917225
ENSG00000136754	ABI1	10	26746593	26861087
ENSG00000270781	AC091133.5	17	48899131	48899748
ENSG00000232504	ST3GAL5-AS1	2	85889280	85890980
ENSG00000249087	ZNF436-AS1	1	23368997	23371839
ENSG00000249086	AC051649.1	11	1864177	1866667
ENSG00000116016	EPAS1	2	46293667	46386703
ENSG00000175137	SH3BP5L	1	248810446	248826633
ENSG00000204356	NELFE	6	31952087	31959110
ENSG00000175130	MARCKSL1	1	32333832	32336379
ENSG00000242860	RN7SL180P	1	62072448	62072741
ENSG00000242861	AL591895.1	1	225840883	225846522
ENSG00000147689	FAM83A	8	123178960	123210079
ENSG00000271259	AC010201.1	12	89371820	89372359
ENSG00000242866	STRC	15	43599563	43618800
ENSG00000271257	AC008814.1	5	58503295	58503700
ENSG00000270124	AC092127.2	16	85580009	85583571
ENSG00000270127	AC027020.2	15	100547765	100550153
ENSG00000270120	AC007728.3	16	50712844	50713589
ENSG00000235192	AC009495.3	2	165794851	165810010
ENSG00000224238	WARS2-IT1	1	119047405	119064785
ENSG00000235194	PPP1R3E	14	23295643	23302848
ENSG00000275576	AL049539.1	20	32116171	32116629
ENSG00000275572	GRIFIN	7	2474844	2476894
ENSG00000060138	YBX3	12	10699089	10723312
ENSG00000253570	RNF5P1	8	38600661	38601200
ENSG00000281593	AC006978.2	7	30362400	30412502
ENSG00000231856	AL162377.1	13	51803838	51813832
ENSG00000231852	CYP21A2	6	32038265	32041670
ENSG00000231851	UTAT33	2	105097052	105102944
ENSG00000130751	NPAS1	19	47019820	47045775
ENSG00000231859	AC079781.1	7	97906429	97906822
ENSG00000231858	AC067945.3	2	191021526	191032314
ENSG00000186115	CYP4F2	19	15878023	15898120
ENSG00000197670	AL157838.1	20	53552770	53575863
ENSG00000110756	HPS5	11	18278668	18322198
ENSG00000134278	SPIRE1	18	12446512	12658134
ENSG00000185379	RAD51D	17	35092208	35121522
ENSG00000072506	HSD17B10	X	53431258	53434373
ENSG00000149243	KLHL35	11	75422394	75430629
ENSG00000181135	ZNF707	8	143684452	143713898
ENSG00000134186	PRPF38B	1	108692323	108701803
ENSG00000134184	GSTM1	1	109687814	109709039
ENSG00000262712	AC012676.1	16	4335870	4337818
ENSG00000262714	AC007342.5	16	53386944	53389085
ENSG00000037042	TUBG2	17	42659305	42667006
ENSG00000284715	AP001153.1	11	104975356	104976116
ENSG00000284716	AL034417.3	1	7998187	7999934
ENSG00000078487	ZCWPW1	7	100400826	100428992
ENSG00000260625	AC026471.2	16	31508471	31509256
ENSG00000042753	AP2S1	19	46838136	46850992
ENSG00000284719	AL033527.5	1	39799422	39809450
ENSG00000259834	AL365361.1	1	110653560	110657040
ENSG00000105855	ITGB8	7	20330702	20415754
ENSG00000105854	PON2	7	95404863	95435329
ENSG00000111481	COPZ1	12	54301202	54351849
ENSG00000105856	HBP1	7	107168961	107202529
ENSG00000105851	PIK3CG	7	106865278	106907145
ENSG00000265298	AC132812.1	17	64750420	64751311
ENSG00000012174	MBTPS2	X	21839636	21885424
ENSG00000131002	TXLNGY	Y	19567313	19606274
ENSG00000135587	SMPD2	6	109440763	109443919
ENSG00000084710	EFR3B	2	25042130	25159137
ENSG00000071082	RPL31	2	101001715	101024032
ENSG00000247315	ZCCHC3	20	296968	300321
ENSG00000135638	EMX1	2	72916260	72936071
ENSG00000180662	RPL21P8	14	65467807	65468341
ENSG00000180667	YOD1	1	207043849	207052980
ENSG00000250031	AC009927.1	8	58424588	58426685
ENSG00000135632	SMYD5	2	73214222	73227237
ENSG00000135631	RAB11FIP5	2	73073382	73156721
ENSG00000135636	DYSF	2	71453722	71686768
ENSG00000135637	CCDC142	2	74471986	74483408
ENSG00000147155	EBP	X	48521158	48528716
ENSG00000114503	NCBP2	3	196935402	196942597
ENSG00000259767	AC022558.1	15	83022236	83024336
ENSG00000115677	HDLBP	2	241227264	241317061
ENSG00000259762	AC021739.5	15	85750336	85752901
ENSG00000259760	AC015660.2	15	99396613	99401315
ENSG00000259768	AC004943.2	16	72665170	72791624
ENSG00000261971	MMP25-AS1	16	3037403	3059370
ENSG00000225051	HMGB3P22	5	179679032	179694768
ENSG00000116852	KIF21B	1	200969390	201023700
ENSG00000226284	ARPC3P1	20	49134480	49135012
ENSG00000258623	AL121820.1	14	68683411	68685565
ENSG00000219747	AL133260.1	6	151099529	151099933
ENSG00000029364	SLC39A9	14	69398015	69462388
ENSG00000180370	PAK2	3	196739857	196832647
ENSG00000227256	MIS18A-AS1	21	32277863	32280988
ENSG00000227252	AC105760.2	2	237059434	237085817
ENSG00000227253	AL158834.2	10	32266289	32269474
ENSG00000267737	AC087645.2	17	78315729	78347798
ENSG00000267632	AC067852.3	17	42509784	42511519
ENSG00000267637	AC040904.1	17	59784813	59785035
ENSG00000146205	ANO7	2	241188509	241225377
ENSG00000235944	ZNF815P	7	5823160	5854365
ENSG00000235946	AC234783.1	X	104062542	104063037
ENSG00000164411	GJB7	6	87282978	87329278
ENSG00000164414	SLC35A1	6	87470623	87512336
ENSG00000202227	RNU6-282P	2	48501922	48502024
ENSG00000255776	VDAC2P2	12	9036344	9037244
ENSG00000100532	CGRRF1	14	54509812	54539309
ENSG00000077454	LRCH4	7	100574011	100586153
ENSG00000224543	SNRPGP15	19	14489388	14489609
ENSG00000077458	FAM76B	11	95768942	95790409
ENSG00000272379	AL008729.2	6	13290018	13290490
ENSG00000212658	KRTAP29-1	17	41301826	41302851
ENSG00000265908	AC024267.5	17	28944796	28945394
ENSG00000265907	AP000919.2	18	2948238	2960756
ENSG00000212657	KRTAP16-1	17	41307700	41309253
ENSG00000260367	AC109460.1	16	28973962	28978824
ENSG00000260366	AC026803.1	19	48926171	48926444
ENSG00000260361	AC106028.3	15	92779757	92781492
ENSG00000260360	AL353708.1	1	179953184	179954440
ENSG00000260368	AC027373.1	8	100913247	100914388
ENSG00000021300	PLEKHB1	11	73646178	73662819
ENSG00000217027	TPT1P4	6	144200447	144200965
ENSG00000100399	CHADL	22	41229510	41240934
ENSG00000209482	SNORD83A	22	39315213	39315307
ENSG00000100393	EP300	22	41091786	41180079
ENSG00000100395	L3MBTL2	22	41205205	41231271
ENSG00000184897	H1FX	3	129314771	129316277
ENSG00000196550	FAM72A	1	206186179	206204414
ENSG00000196553	CCDC196	14	66411704	66498677
ENSG00000196557	CACNA1H	16	1153121	1221772
ENSG00000138346	DNA2	10	68414064	68472121
ENSG00000197208	SLC22A4	5	132294443	132344206
ENSG00000239467	AC007405.3	2	170771113	170778148
ENSG00000239465	AC090543.1	15	64631109	64631914
ENSG00000211947	IGHV3-21	14	106235064	106235594
ENSG00000026652	AGPAT4	6	161129979	161274061
ENSG00000205955	HSP90AA5P	3	184115352	184117898
ENSG00000211945	IGHV1-18	14	106184901	106185394
ENSG00000205959	AC105345.1	4	8482270	8512610
ENSG00000185158	LRRC37B	17	32007872	32053504
ENSG00000211681	IGLJ5	22	22914237	22914308
ENSG00000211683	AP000346.1	22	23630618	23638941
ENSG00000211685	IGLC7	22	22922594	22923034
ENSG00000211688	TRGJP2	7	38256337	38256396
ENSG00000211689	TRGC1	7	38257879	38265678
ENSG00000185155	MIXL1	1	226223618	226227054
ENSG00000185156	MFSD6L	17	8797162	8799349
ENSG00000229567	AL139421.1	1	93278961	93279129
ENSG00000213260	YWHAZP5	10	105686322	105687051
ENSG00000213261	EEF1B2P6	7	131661952	131662624
ENSG00000106633	GCK	7	44144271	44198170
ENSG00000280295	AC099811.6	17	42233832	42235469
ENSG00000280294	AC011008.2	8	10856085	10859436
ENSG00000106638	TBL2	7	73567533	73578791
ENSG00000225196	RPL10P17	1	12220794	12221109
ENSG00000225194	LINC00092	9	96019724	96027993
ENSG00000152672	CLEC4F	2	70808643	70820600
ENSG00000143643	TTC13	1	230906243	230978875
ENSG00000124588	NQO2	6	2987987	3028869
ENSG00000143641	GALNT2	1	230057990	230282124
ENSG00000124587	PEX6	6	42963870	42979220
ENSG00000167333	TRIM68	11	4598672	4608259
ENSG00000009830	POMT2	14	77274956	77320884
ENSG00000220161	LINC02076	17	18411159	18414380
ENSG00000178927	CYBC1	17	82442589	82450829
ENSG00000178921	PFAS	17	8247618	8270491
ENSG00000266340	AC138207.7	17	30978610	30980250
ENSG00000168310	IRF2	4	184387713	184474580
ENSG00000262454	MIR193BHG	16	14301389	14331067
ENSG00000114268	PFKFB4	3	48517684	48562015
ENSG00000268412	TRMT112P6	2	26028208	26028612
ENSG00000040487	PQLC2	1	19312326	19329300
ENSG00000200674	RN7SKP160	1	173791548	173791887
ENSG00000204706	MAMDC2-AS1	9	70033921	70175888
ENSG00000153107	ANAPC1	2	111611639	111884690
ENSG00000228779	Z69666.1	16	125737	127219
ENSG00000228775	WEE2-AS1	7	141704338	141738346
ENSG00000279265	AC000123.2	7	127349833	127350293
ENSG00000279267	AL078621.3	2	113605867	113607908
ENSG00000226647	AL365356.1	10	5712174	5744067
ENSG00000226644	AL121899.1	20	2207217	2213151
ENSG00000226648	PLCG1-AS1	20	41098329	41138003
ENSG00000158023	WDR66	12	121917862	122003927
ENSG00000164045	CDC25A	3	48157146	48188402
ENSG00000155719	OTOA	16	21663971	21761935
ENSG00000183248	PRR36	19	7868719	7874379
ENSG00000143751	SDE2	1	225982702	225999331
ENSG00000127774	EMC6	17	3668815	3669668
ENSG00000239920	AC104389.4	11	5254392	5678434
ENSG00000233927	RPS28	19	8321158	8323340
ENSG00000233926	AL591368.1	9	81689713	81776900
ENSG00000233922	LINC01694	21	45593654	45603056
ENSG00000173838	MARCH10	17	62701314	62808344
ENSG00000122729	ACO1	9	32384603	32454769
ENSG00000245317	AC008393.1	5	179859013	179861283
ENSG00000165406	MARCH8	10	45454585	45594906
ENSG00000165409	TSHR	14	80954989	81146302
ENSG00000241258	CRCP	7	66114604	66154568
ENSG00000206634	SNORA22	7	65755526	65755659
ENSG00000206636	ENSG00000206636	12	7976259	7976360
ENSG00000255843	AP000593.3	11	72302139	72302965
ENSG00000182010	RTKN2	10	62183035	62268707
ENSG00000254717	GLYATL1P2	11	58878302	58893460
ENSG00000240849	TMEM189	20	50118254	50153734
ENSG00000278133	AC135050.6	16	31122235	31124064
ENSG00000158683	PKD1L1	7	47740202	47948491
ENSG00000124831	LRRFIP1	2	237627576	237813682
ENSG00000008056	SYN1	X	47571898	47619943
ENSG00000130518	IQCN	19	18257097	18274509
ENSG00000159374	M1AP	2	74557883	74648338
ENSG00000159377	PSMB4	1	151399534	151401944
ENSG00000130511	SSBP4	19	18418864	18434562
ENSG00000130513	GDF15	19	18374731	18389176
ENSG00000130517	PGPEP1	19	18340587	18369950
ENSG00000234998	AC244453.3	1	121087528	121116676
ENSG00000227113	AC073210.1	7	65075023	65078780
ENSG00000164758	MED30	8	117520713	117540262
ENSG00000164756	SLC30A8	8	116950273	117176714
ENSG00000164754	RAD21	8	116845935	116874866
ENSG00000164751	PEX2	8	76980258	77001044
ENSG00000159082	SYNJ1	21	32628759	32728048
ENSG00000155506	LARP1	5	154712902	154817607
ENSG00000159086	PAXBP1	21	32733899	32771858
ENSG00000011478	QPCTL	19	45692483	45703989
ENSG00000186704	DTX2P1	7	76978617	77004308
ENSG00000010704	HFE	6	26087281	26098343
ENSG00000196611	MMP1	11	102789920	102798160
ENSG00000081913	PHLPP1	18	62715450	62980433
ENSG00000252002	RNA5SP154	4	9792751	9792861
ENSG00000254826	AP001922.3	11	75775904	75776929
ENSG00000005471	ABCB4	7	87401697	87480435
ENSG00000256713	PGA5	11	61241042	61251448
ENSG00000256712	AC134349.1	12	11166090	11171353
ENSG00000037280	FLT4	5	180601506	180649624
ENSG00000160124	CCDC58	3	122359591	122383231
ENSG00000232732	AC097717.1	2	199867396	199911159
ENSG00000203910	C1ORF146	1	92217940	92245813
ENSG00000175294	CATSPER1	11	66016752	66026517
ENSG00000231386	AC007395.1	2	70810798	70811474
ENSG00000231389	HLA-DPA1	6	33064569	33080775
ENSG00000176928	GCNT4	5	75025346	75030899
ENSG00000174429	ABRA	8	106759483	106770245
ENSG00000176920	FUT2	19	48695971	48705950
ENSG00000176927	EFCAB5	17	29929200	30108452
ENSG00000198169	ZNF251	8	144720907	144756417
ENSG00000198168	SVIP	11	22813799	22830299
ENSG00000198162	MAN1A2	1	117367449	117528872
ENSG00000198160	MIER1	1	66924895	66988619
ENSG00000171049	FPR2	19	51752026	51770526
ENSG00000231655	AC011742.2	2	26140263	26141264
ENSG00000175741	RWDD4P2	7	39854494	39855056
ENSG00000171045	TSNARE1	8	142212080	142403240
ENSG00000171044	XKR6	8	10896045	11201366
ENSG00000167632	TRAPPC9	8	139727725	140458579
ENSG00000147316	MCPH1	8	6406592	6648504
ENSG00000230383	AC009245.1	7	137721985	137722846
ENSG00000230387	AL118508.1	20	23187961	23190307
ENSG00000248780	ARL4AP2	4	40786110	40786710
ENSG00000248785	HIGD1AP14	4	109673843	109674124
ENSG00000167476	JSRP1	19	2252252	2269759
ENSG00000111897	SERINC1	6	122443354	122471822
ENSG00000167470	MIDN	19	1248553	1259140
ENSG00000074800	ENO1	1	8861000	8879250
ENSG00000276422	AL590491.2	9	60943311	60964185
ENSG00000253878	AC087752.3	8	94950037	94951396
ENSG00000253873	PCDHGA11	5	141421047	141512979
ENSG00000084754	HADHA	2	26190635	26244726
ENSG00000240065	PSMB9	6	32844136	32859585
ENSG00000095637	SORBS1	10	95311771	95561414
ENSG00000249786	EAF1-AS1	3	15436171	15455940
ENSG00000230528	NOS2P3	17	20436337	20447249
ENSG00000230521	AL645929.1	6	29887294	29888268
ENSG00000278909	AC007608.4	16	50555355	50558719
ENSG00000148225	WDR31	9	113313222	113340298
ENSG00000133136	GNG5P2	X	110346703	110346909
ENSG00000272420	AL513477.2	1	2363061	2363628
ENSG00000272426	BX284668.6	1	16904339	16904776
ENSG00000272425	AC009902.3	8	81275399	81277570
ENSG00000148229	POLE3	9	113407235	113410672
ENSG00000089639	GMIP	19	19629476	19643667
ENSG00000144579	CTDSP1	2	218398256	218405941
ENSG00000067840	PDZD4	X	153802166	153830565
ENSG00000146592	CREB5	7	28299321	28825894
ENSG00000227012	LINC02527	6	111900489	111901851
ENSG00000248254	AC107398.2	4	47556731	47560259
ENSG00000248256	OCIAD1-AS1	4	48852008	48860203
ENSG00000172828	CES3	16	66961237	66975148
ENSG00000249129	SUDS3P1	5	177971316	177972281
ENSG00000141068	KSR1	17	27456470	27626438
ENSG00000137309	HMGA1	6	34236873	34246231
ENSG00000144681	STAC	3	36380344	36548007
ENSG00000066468	FGFR2	10	121478334	121598458
ENSG00000268996	MAN1B1-DT	9	137084946	137086817
ENSG00000156194	PPEF2	4	75859864	75902571
ENSG00000173193	PARP14	3	122680618	122730840
ENSG00000132881	CPLANE2	1	16231700	16237162
ENSG00000116604	MEF2D	1	156463727	156500828
ENSG00000279742	AP000974.1	11	85852557	85854943
ENSG00000279741	AC007342.8	16	53389886	53390563
ENSG00000080189	SLC35C2	20	46345980	46364458
ENSG00000147883	CDKN2B	9	22002903	22009363
ENSG00000147889	CDKN2A	9	21967753	21995301
ENSG00000101935	AMMECR1	X	110194186	110440233
ENSG00000130656	HBZ	16	152687	154503
ENSG00000130653	PNPLA7	9	137459953	137550534
ENSG00000113389	NPR3	5	32689070	32791724
ENSG00000180846	CSNK1G2-AS1	19	1952531	1954586
ENSG00000223599	AL513523.1	1	153852106	153853414
ENSG00000067334	DNTTIP2	1	93866283	93879918
ENSG00000113387	SUB1	5	32531633	32604079
ENSG00000113384	GOLPH3	5	32124704	32174350
ENSG00000099985	OSM	22	30262829	30266840
ENSG00000235545	AC103923.1	1	62688482	62710694
ENSG00000235546	AC087499.4	17	20612667	20614008
ENSG00000076258	FMO4	1	171314208	171342084
ENSG00000223559	AC073136.1	7	56288230	56291425
ENSG00000234636	MED14OS	X	40735400	40738701
ENSG00000234630	AC245060.2	22	22293733	22294794
ENSG00000234632	NECAP1P2	2	74350069	74351009
ENSG00000180592	SKIDA1	10	21513478	21526368
ENSG00000180596	HIST1H2BC	6	26114873	26123926
ENSG00000073578	SDHA	5	218241	256700
ENSG00000169203	NPIPB12	16	29483642	29505999
ENSG00000089009	RPL6	12	112405190	112418838
ENSG00000261349	AL031432.2	1	25266102	25267136
ENSG00000261346	AC116348.3	16	30477180	30489353
ENSG00000089006	SNX5	20	17941597	17968980
ENSG00000261342	AC006538.1	19	2727743	2729327
ENSG00000273461	AC105265.3	3	72061061	72069933
ENSG00000261341	AC010325.1	19	50776141	50793142
ENSG00000256690	AP001160.1	11	62832234	62834043
ENSG00000264196	AC011120.1	17	72839039	72839718
ENSG00000117266	CDK18	1	205504595	205532793
ENSG00000117262	GPR89A	1	145607990	145670648
ENSG00000107831	FGF8	10	101770130	101780369
ENSG00000107833	NPM3	10	101781325	101783413
ENSG00000156508	EEF1A1	6	73515750	73523797
ENSG00000224066	AL049795.1	1	32204769	32206814
ENSG00000224067	AL354877.1	9	111802980	111803435
ENSG00000156500	FAM122C	X	134796395	134854835
ENSG00000156504	FAM122B	X	134769566	134797232
ENSG00000160868	CYP3A4	7	99756960	99784265
ENSG00000237975	FLG-AS1	1	152168125	152445456
ENSG00000138750	NUP54	4	76114659	76148515
ENSG00000103642	LACTB	15	63121800	63142061
ENSG00000103647	CORO2B	15	68578969	68727806
ENSG00000263874	LINC00672	17	38925168	38929384
ENSG00000022556	NLRP2	19	54953130	55001142
ENSG00000181074	OR52N4	11	5754243	5755905
ENSG00000076928	ARHGEF1	19	41883161	41930150
ENSG00000076924	XAB2	19	7619525	7629565
ENSG00000143337	TOR1AIP1	1	179882042	179925000
ENSG00000143333	RGS16	1	182598623	182604408
ENSG00000168152	THAP9	4	82900684	82919969
ENSG00000189241	TSPYL1	6	116276578	116279903
ENSG00000168159	RNF187	1	228487061	228495766
ENSG00000111837	MAK	6	10762723	10838555
ENSG00000111834	RSPH4A	6	116616479	116632985
ENSG00000111832	RWDD1	6	116571367	116597675
ENSG00000260488	AC007216.1	16	11976851	11977850
ENSG00000262693	AC012146.3	17	5075678	5078113
ENSG00000262692	AC116914.2	17	3721628	3722488
ENSG00000274307	AC023449.2	15	25708470	25710869
ENSG00000244203	FOXP1-AS1	3	71289769	71305853
ENSG00000188596	CFAP54	12	96489571	96875555
ENSG00000188599	NPIPP1	16	15104312	15123498
ENSG00000170100	ZNF778	16	89217703	89237071
ENSG00000269800	PLEKHA3P1	19	41521043	41521989
ENSG00000269802	AC011491.3	19	6343761	6362149
ENSG00000269807	AC007292.3	19	4347244	4354057
ENSG00000269806	BICRA-AS1	19	47615699	47626395
ENSG00000265319	RN7SL847P	10	33034655	33034924
ENSG00000167914	GSDMA	17	39953263	39977766
ENSG00000215367	TMED11P	4	1115197	1153726
ENSG00000251129	LINC02506	4	31997397	32155406
ENSG00000119760	SUPT7L	2	27650812	27663840
ENSG00000019995	ZRANB1	10	124942123	124988189
